"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Lithuania",64,57,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","June 4, 2019","Not yet restricted"
"Luxembourg",8,32,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 29, 2020","Not yet restricted"
"Malaysia",31,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","April 9, 2019","Restricted"
"Maldives",48,2,2,2,"Local transmission",4,"Level 2: Exercise Increased Caution","May 2, 2019","Not yet restricted"
"Malta",72,57,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","July 1, 2019","Not yet restricted"
"Mauritania",46,2,2,2,"Imported cases only",11,"Level 2: Exercise Increased Caution","December 26, 2019","Not yet restricted"
"Mexico",101,50,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","December 17, 2019","Not yet restricted"
"Moldova",66,41,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 17, 2019","Not yet restricted"
"Mongolia",26,2,2,2,"Imported cases only",3,"Level 4: Do Not Travel","March 18, 2020","Not yet restricted"
"Montenegro",60,13,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Morocco",72,37,9,3,"Local transmission",2,"Level 2: Exercise Increased Caution","April 2, 2019","Restricted"
"Namibia",60,2,2,2,"Imported cases only",11,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Netherlands",10,19,15,6,"Local transmission",2,"Level 2: Exercise Increased Caution","July 19, 2019","Not yet restricted"
"New Zealand",3,30,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 21, 2019","Restricted"
"Nigeria",60,2,2,2,"Imported cases only",9,"Level 3: Reconsider Travel","October 29, 2019","Restricted"
"North Macedonia",67,7,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 23, 2019","Not yet restricted"
"Norway",6,9,12,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","September 13, 2019","Restricted"
"Oman",15,13,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Pakistan",12,45,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","January 31, 2020","Not yet restricted"
"Panama",100,18,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 3, 2019","Not yet restricted"
"Paraguay",82,41,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 22, 2019","Not yet restricted"
