"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Togo",85,37,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 22, 2019","Not yet restricted"
"Trinidad and Tobago",85,19,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Tunisia",29,4,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","January 2, 2019","Not yet restricted"
"Turkey",15,2,7,2,"Local transmission",3,"Level 2: Exercise Increased Caution","September 5, 2019","Restricted"
"Ukraine",53,2,7,2,"Local transmission",3,"Level 2: Exercise Increased Caution","February 19, 2020","Restricted"
"United Arab Emirates",50,50,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Restricted"
"United Kingdom",24,34,5,13,"Local transmission",2,"Level 2: Exercise Increased Caution","April 22, 2019","Restricted"
"United States of America",90,65,25,20,"Local transmission",2,"Do not travel","18 Mar 2020","Restricted"
"Uruguay",104,67,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","August 2, 2019","Not yet restricted"
"Uzbekistan",58,55,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 13, 2018","Not yet restricted"
"Venezuela",68,2,2,2,"Imported cases only",3,"Level 4: Do Not Travel","December 2, 2019","Not yet restricted"
"Zambia",17,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
